osm_type,osm_id,latitude,longitude,industrial,landuse,power,man_made,building,product,plant_source,plant_method,resource,description,source_file
node,919601811,30.8669412,75.8669356,,,,works,,,,,,,industrial-works.osm.pbf
node,919601817,30.8673496,75.8640787,,,,works,,,,,,,industrial-works.osm.pbf
node,919601819,30.8661155,75.8636119,,,,works,,,,,,,industrial-works.osm.pbf
node,919601820,30.8658937,75.8635639,,,,works,,,,,,,industrial-works.osm.pbf
node,919601827,30.8667128,75.864979,,,,works,,,,,,,industrial-works.osm.pbf
node,919605066,30.8701513,75.8592698,,,,works,,,,,,,industrial-works.osm.pbf
node,919687893,30.8697182,75.8593413,,,,works,,,,,,,industrial-works.osm.pbf
node,919687896,30.8684259,75.8592804,,,,works,,,,,,,industrial-works.osm.pbf
node,919687923,30.8674098,75.8592662,,,,works,,,,,,,industrial-works.osm.pbf
node,928527387,30.7086666,75.9442975,,,,works,,,,,,,industrial-works.osm.pbf
node,939131964,30.8627007,75.9203043,,,,works,,,,,,,industrial-works.osm.pbf
node,939131972,30.8620281,75.9193136,,,,works,,,,,,,industrial-works.osm.pbf
node,939131998,30.8617542,75.9213062,,,,works,,,,,,,industrial-works.osm.pbf
node,949885001,30.8651037,75.8713275,,,,works,,,,,,,industrial-works.osm.pbf
node,976413365,30.8612244,75.9206512,,,,works,,,,,,,industrial-works.osm.pbf
node,976455811,30.8620187,75.9181578,,,,works,,,,,,,industrial-works.osm.pbf
node,1008530963,30.9294894,77.1142253,,,,works,,,,,,,industrial-works.osm.pbf
node,1053605057,13.0496137,80.2434261,,,,works,,,,,,,industrial-works.osm.pbf
node,1147742588,10.3338044,77.0163106,,,,works,,,,,,,industrial-works.osm.pbf
node,1147743132,10.2657995,76.9207653,,,,works,,tea,,,,,industrial-works.osm.pbf
node,1154865487,10.2815502,76.9615241,,,,works,,,,,,,industrial-works.osm.pbf
node,1185579351,19.128396,72.89372,,,,works,,,,,,,industrial-works.osm.pbf
node,1204022632,21.1741903,75.8370168,,,,works,,,,,,,industrial-works.osm.pbf
node,1209790750,12.7841937,79.6389405,,,,works,,,,,,,industrial-works.osm.pbf
node,1248181602,30.4269014,74.0463067,,,,works,,,,,,,industrial-works.osm.pbf
node,1248415458,30.4069395,74.027462,,,,works,,,,,,,industrial-works.osm.pbf
node,1335878279,30.9261312,74.6124908,,,,works,,,,,,,industrial-works.osm.pbf
node,1336000164,30.9503731,74.6104792,,,,works,,,,,,,industrial-works.osm.pbf
node,1344435665,30.923183,74.6212996,,,,works,,,,,,,industrial-works.osm.pbf
node,1350382386,12.5560083,77.7361627,,,,works,,,,,,,industrial-works.osm.pbf
node,1360144586,19.16266,72.8514684,,,,works,,,,,,,industrial-works.osm.pbf
node,1412318543,19.120109,73.0247273,,,,works,,,,,,,industrial-works.osm.pbf
node,1440947503,11.4622825,77.4675732,,,,works,,coir,,,,,industrial-works.osm.pbf
node,1604518639,10.8662802,72.194051,,,,works,yes,,,,,,industrial-works.osm.pbf
node,1743108333,30.8748863,75.85941,,,,works,,,,,,,industrial-works.osm.pbf
node,1743115559,30.8861494,75.8581383,,,,works,,,,,,,industrial-works.osm.pbf
node,1830611262,30.7117482,76.6929751,,,,works,,,,,,,industrial-works.osm.pbf
node,1830612202,30.7141211,76.6897966,,,,works,yes,,,,,,industrial-works.osm.pbf
node,1830613521,30.7137636,76.6895554,,,,works,office,,,,,,industrial-works.osm.pbf
node,2057437693,9.1853103,78.0203717,,,,works,,,,,,,industrial-works.osm.pbf
node,2057494792,9.1883027,78.0192867,,commercial,,works,,,,,,,industrial-works.osm.pbf
node,2088774179,31.738017,76.609965,,,,works,,,,,,,industrial-works.osm.pbf
node,2279178859,18.5643551,73.9161886,,,,works,,,,,,,industrial-works.osm.pbf
node,2501346926,23.2755546,72.3447941,,,,works,,,,,,,industrial-works.osm.pbf
node,2501353193,23.3002767,72.3121791,,,,works,,,,,,,industrial-works.osm.pbf
node,2528821545,10.2589592,76.3244448,,,,works,,,,,,,industrial-works.osm.pbf
node,2588686471,23.3123738,72.3425588,,,,works,,,,,,,industrial-works.osm.pbf
node,2588686476,23.3090238,72.3400268,,,,works,,,,,,,industrial-works.osm.pbf
node,2588689353,23.3130241,72.3384175,,,,works,,,,,,,industrial-works.osm.pbf
node,2686107823,18.7324258,73.1304652,,,,works,,,,,,,industrial-works.osm.pbf
node,2712426098,19.6717308,78.5353833,,,,works,,,,,,,industrial-works.osm.pbf
node,2712436811,19.6731149,78.5439023,,,,works,,,,,,,industrial-works.osm.pbf
node,2719606381,11.1779581,75.827271,,,,works,,,,,,,industrial-works.osm.pbf
node,2721605429,11.0427547,75.8681488,,,,works,,,,,,,industrial-works.osm.pbf
node,2933888276,16.6940409,76.8483041,,,,works,,,,,,,industrial-works.osm.pbf
node,3028236953,11.5349755,75.8799431,,,,works,,,,,,,industrial-works.osm.pbf
node,3068059850,12.9990581,74.8230882,,,,works,,,,,,,industrial-works.osm.pbf
node,3068059853,13.0006244,74.8233265,,,,works,,,,,,,industrial-works.osm.pbf
node,3092649927,27.2085922,78.0433102,,,,works,,,,,,,industrial-works.osm.pbf
node,3092751625,27.2064921,78.0422154,,,,works,,,,,,,industrial-works.osm.pbf
node,3286245535,9.7149821,76.5607168,,,,works,,,,,,,industrial-works.osm.pbf
node,3286245541,9.7154857,76.5602965,,,,works,,,,,,,industrial-works.osm.pbf
node,3329652244,30.4202512,74.5216376,,,,works,,,,,,,industrial-works.osm.pbf
node,3349828084,13.0079535,76.1242254,,,,works,,,,,,,industrial-works.osm.pbf
node,3431050306,30.4547321,76.56603,,,,works,,,,,,,industrial-works.osm.pbf
node,3431050325,30.5038179,76.6245051,,,,works,,,,,,,industrial-works.osm.pbf
node,3431050334,30.5076902,76.6358197,,,,works,,,,,,,industrial-works.osm.pbf
node,3499708905,22.7728738,86.2090315,,,,works,,,,,,,industrial-works.osm.pbf
node,3499793357,22.7695869,86.2227698,,,,works,,,,,,,industrial-works.osm.pbf
node,3523097062,18.4510798,74.3947244,,,,works,,,,,,,industrial-works.osm.pbf
